url,price,rooms,area,locality,property_type,sub_property_type
https://www.immoweb.be/fr/annonce/maison/a-vendre/drongen/9031/20828943,565000,4,184,9031 Drongen,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/sint-niklaas/9100/20828942,169000,1,None,9100 Sint-Niklaas,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/tervuren/3080/20828939,490000,2,101,3080 Tervuren,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/antwerpen-berchem/2600/20828940,255000,3,105,2600 Antwerpen Berchem,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/neerpelt/3910/20828941,297500,2,95,3910 Neerpelt,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/geraardsbergen/9500/20828935,179000,1,82,9500 Geraardsbergen,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/woluwe-saint-lambert/1200/20828937,450000,3,112,1200 Woluwe-Saint-Lambert,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-zoute/8300/20828929,5650000,6,289,8300 Knokke-Zoute,House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/geel/2440/20828933,469000,3,215,2440 Geel,House,Villa
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kortrijk/8500/20828938,215000,None,56,8500 Kortrijk,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-zoute/8300/20828922,795000,2,72,8300 Knokke-Zoute,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/frasnes/5660/20828921,210000,4,202,5660 FRASNES,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/bierbeek/3360/20828924,475000,3,155,3360 Bierbeek,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/liege/4020/20828927,249000,5,190,4020 LIÈGE,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/tervuren/3080/20828920,399000,1,76,3080 Tervuren,Apartment,Appartement
https://www.immoweb.be/fr/annonce/villa/a-vendre/ham-sur-heure-nalinnes/6120/20828919,550000,3,250,6120 Ham-sur-Heure-Nalinnes,House,Villa
https://www.immoweb.be/fr/annonce/autres-biens/a-vendre/frasnes/5660/20828932,210000,4,202,5660 FRASNES,House,Autres biens
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-zoute/8300/20828918,799000,2,75,8300 Knokke-Zoute,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/vise/4600/20828917,179000,1,50,4600 Visé,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/drongen/9031/20828916,595000,4,184,9031 Drongen,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/hoeilaart/1560/20828914,595000,4,219,1560 Hoeilaart,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/de-haan-wenduine/8420/20828908,448800,3,318,8420 De Haan Wenduine,House,Maison
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/grivegnee/4030/20705446,125000,1,68,4030 Grivegnée,Apartment,Rez-de-chaussée
https://www.immoweb.be/fr/annonce/appartement/a-vendre/sterrebeek/1933/20828911,891000,2,130,1933 Sterrebeek,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/heppignies/6220/20828910,235000,4,140,6220 Heppignies,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-pauwels/9170/20828907,285000,2,120,9170 Sint-Pauwels,House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/bree/3960/20828905,1175000,4,494,3960 Bree,House,Villa
https://www.immoweb.be/fr/annonce/appartement/a-vendre/oostende/8400/20511805,109900,1,52,8400 Oostende,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/dentergem/8720/20828906,229000,4,185,8720 Dentergem,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/eupen/4700/20825320,259000,2,94,4700 Eupen,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/mons/7000/20823735,165000,1,53,7000 Mons,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/saint-ghislain/7333/20823734,210000,2,81,7333 Saint-Ghislain,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/nivelles/1400/20822751,410000,2,109,1400 Nivelles,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/nivelles/1400/20822749,249000,1,52,1400 Nivelles,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-pieters-leeuw/1600/20828904,550000,5,245,1600 Sint-Pieters-Leeuw,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/bachte-maria-leerne/9800/20828903,559986,5,236,9800 Bachte-Maria-Leerne,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/20828902,740000,2,95,8300 Knokke,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/oisquercq/1480/20828901,230000,3,110,1480 OISQUERCQ,House,Maison
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/koksijde/8670/20828900,369000,2,86,8670 Koksijde,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/appartement/a-vendre/nieuwpoort/8620/20828897,589000,2,76,8620 Nieuwpoort,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-niklaas/9100/20828893,350000,2,162,9100 Sint-Niklaas,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/waregem/8790/20646698,269000,4,214,8790 Waregem,House,Maison
https://www.immoweb.be/fr/annonce/duplex/a-vendre/laakdal/2430/20828891,259000,2,None,2430 Laakdal,Apartment,Duplex
https://www.immoweb.be/fr/annonce/villa/a-vendre/oosterzele/9860/20828896,916992,4,200,9860 Oosterzele,House,Villa
https://www.immoweb.be/fr/annonce/villa/a-vendre/brasschaat/2930/20828892,1525000,4,315,2930 Brasschaat,House,Villa
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/wenduine/8420/20829476,585000,1,79,8420 Wenduine,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/maison/a-vendre/charleroi/6010/20829471,340000,3,288,6010 Charleroi,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/westerlo/2260/20829481,335000,3,251,2260 Westerlo,House,Maison
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/seraing-seraing/4100/20829477,299000,2,1055,4100 Seraing (Seraing),House,Immeuble à appartements
https://www.immoweb.be/fr/annonce/appartement/a-vendre/tongerlo-westerlo/2260/20829480,310000,2,93,2260 Tongerlo (Westerlo),Apartment,Appartement
https://www.immoweb.be/fr/annonce/duplex/a-vendre/forest/1190/20829429,435000,3,150,1190 Forest,Apartment,Duplex
https://www.immoweb.be/fr/annonce/maison/a-vendre/gimnee/5680/20829382,215000,2,121,5680 GIMNÉE,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/tessenderlo-ham/3945/20829381,699000,5,322,3945 Tessenderlo-Ham,House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/wepion/5100/20615757,560000,4,200,5100 WEPION,House,Villa
https://www.immoweb.be/fr/annonce/maison/a-vendre/pajottegem/1570/20829384,449000,3,186,1570 Pajottegem,House,Maison
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/uccle/1180/20829343,1295000,3,295,1180 Uccle,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/maison/a-vendre/mons-saint-symphorien/7030/20829337,349000,3,220,7030 Mons Saint-Symphorien,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/geraardsbergen/9500/20829372,99000,2,62,9500 GERAARDSBERGEN,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/halle/1500/20829342,245000,4,None,1500 Halle,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/diksmuide/8600/20829340,595000,3,272,8600 Diksmuide,House,Maison
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/andrimont/4821/20326394,105000,None,263,4821 ANDRIMONT,House,Immeuble mixte
https://www.immoweb.be/fr/annonce/maison/a-vendre/nimy/7020/20753724,60000,2,None,7020 Nimy,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/bocholt-bocholt/3950/20829329,249000,3,164,3950 Bocholt (Bocholt),House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/barry/7534/20758980,165000,3,230,7534 BARRY,House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/bienne-lez-happart/6543/20829334,245000,3,None,6543 Bienne-lez-Happart,House,Villa
https://www.immoweb.be/fr/annonce/appartement/a-vendre/aalst/9300/20829324,229000,2,112,9300 AALST,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/deurne/2100/20829325,397000,3,130,2100 DEURNE,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/pont-a-celles/6230/20829320,310000,4,None,6230 Pont-à-Celles,House,Maison
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/kieldrecht/9130/20829318,595000,5,539,9130 KIELDRECHT,House,Immeuble mixte
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/lier/2500/20829311,379000,3,111,2500 LIER,Apartment,Rez-de-chaussée
https://www.immoweb.be/fr/annonce/appartement/a-vendre/lier/2500/20829312,260000,1,75,2500 LIER,Apartment,Appartement
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/lier/2500/20829306,264000,1 - 3 Chambres 1 - 3,74 - 118,2500 LIER,Apartment,Kwarts
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/lier/2500/20829297,364026,3,128,2500 LIER,Apartment,Olivia
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/lier/2500/20829295,364026,3,128,2500 LIER,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/lier/2500/20829299,394000,3,118,2500 LIER,Apartment,Rez-de-chaussée
https://www.immoweb.be/fr/annonce/villa/a-vendre/saint-sauveur/7912/20829282,210000,2,None,7912 Saint-Sauveur,House,Villa
https://www.immoweb.be/fr/annonce/maison/a-vendre/opwijk/1745/20829281,305000,3,164,1745 Opwijk,House,Maison
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/lier/2500/20829314,260000,1,75,2500 LIER,Apartment,Residentie Villa Vigo
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-niklaas/9100/20829286,315000,3,None,9100 SINT-NIKLAAS,House,Maison
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/lier/2500/20829292,264000,1,74,2500 LIER,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/tielt/8700/20829278,249000,1,162,8700 Tielt,House,Immeuble mixte
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/fleurus/6220/20771086,280000,6,238,6220 FLEURUS,House,Immeuble à appartements
https://www.immoweb.be/fr/annonce/appartement/a-vendre/veurne/8630/20644223,239000,2,100,8630 Veurne,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/edegem/2650/20829273,414000,3,None,2650 Edegem,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/la-louviere/7110/20829274,225000,3,160,7110 La Louvière,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2610/20829270,495000,5,255,2610 Antwerpen,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/oleye/4300/20829272,320000,3,118,4300 Oleye,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/chatelineau/6200/20829268,195000,3,144,6200 Châtelineau,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/libramont-chevigny/6800/20829266,155000,2,79,6800 Libramont-Chevigny,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/waterloo/1410/20829265,625000,3,150,1410 Waterloo,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ixelles/1050/20829259,325000,1,70,1050 Ixelles,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2100/20829258,349000,2,None,2100 Antwerpen,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ressaix/7134/20829260,130000,2,82,7134 RESSAIX,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/bonheiden/2820/20829263,899000,5,340,2820 BONHEIDEN,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/20829262,265000,2,None,1180 Uccle,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20829247,346500,3,101,1070 ANDERLECHT,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/fayt-lez-manage/7170/20829255,75000,3,None,7170 Fayt-lez-Manage,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/berchem-sainte-agathe/1082/20829249,330000,2,90,1082 Berchem-Sainte-Agathe,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/onoz/5190/20829253,250000,3,143,5190 ONOZ,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/biesme/5640/20829254,299000,4,275,5640 Biesme,House,Maison
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/anderlecht/1070/20829236,346500,2 - 3 Chambres 2 - 3,101 - 115,1070 ANDERLECHT,Apartment,LES PENTHOUSES DE MARCHANDISES
https://www.immoweb.be/fr/annonce/duplex/a-vendre/anderlecht/1070/20829246,406500,2,115,1070 ANDERLECHT,Apartment,Duplex
https://www.immoweb.be/fr/annonce/appartement/a-vendre/liege/4000/20829235,219000,1,63,4000 Liège,Apartment,Appartement
https://www.immoweb.be/fr/annonce/loft/a-vendre/verviers/4800/20746692,240000,2,312,4800 Verviers,Apartment,Loft
https://www.immoweb.be/fr/annonce/maison/a-vendre/lens/7870/20826521,395000,None,230,7870 Lens,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/lens/7870/20826521,395000,None,230,7870 Lens,House,Maison
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/anderlecht/1070/20829236,346500,2 - 3 Chambres 2 - 3,101 - 115,1070 ANDERLECHT,Apartment,LES PENTHOUSES DE MARCHANDISES
https://www.immoweb.be/fr/annonce/duplex/a-vendre/anderlecht/1070/20829246,406500,2,115,1070 ANDERLECHT,Apartment,Duplex
https://www.immoweb.be/fr/annonce/loft/a-vendre/verviers/4800/20746692,240000,2,312,4800 Verviers,Apartment,Loft
https://www.immoweb.be/fr/annonce/appartement/a-vendre/liege/4000/20829235,219000,1,63,4000 Liège,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20524427,1875000,3,104,8300 Knokke-Heist,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/geraardsbergen/9500/20829232,199000,1,82,9500 Geraardsbergen,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/geraardsbergen/9500/20829233,135000,1,61,9500 Geraardsbergen,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20829231,275000,2,96,1070 Anderlecht,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/bornem/2880/20829229,570000,3,174,2880 BORNEM,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829227,675000,3,93,8300 Knokke-Heist,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/houyet/5560/20829225,219000,2,155,5560 Houyet,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829228,675000,2,83,8300 Knokke-Heist,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/erembodegem/9320/20829222,390000,2,155,9320 Erembodegem,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829226,675000,2,83,8300 Knokke-Heist,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/namur-beez/5000/20683900,245000,3,168,"5000 Namur, Beez",House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/aiseau-presles/6250/20829215,259000,2,None,6250 Aiseau-Presles,House,Villa
https://www.immoweb.be/fr/annonce/appartement/a-vendre/namur-saint-servais/5002/20825318,291000,3,105,5002 Namur Saint-Servais,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/dendermonde/9200/20829221,190000,1,None,9200 Dendermonde,Apartment,Appartement
